Statistical profiling result from ccl-v8.log, (5206 ticks, 16 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  T __ZNK2v86String9WriteUtf8EPNS_7IsolateEPciPii
      1    0.0%    0.0%  T __ZNK2v85Value8ToObjectENS_5LocalINS_7ContextEEE
      1    0.0%    0.0%  T __ZNK2v85Array6LengthEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrap20EmitTraceEventBeforeEv
      1    0.0%    0.0%  T __ZN4node9AsyncWrap19EmitTraceEventAfterENS0_12ProviderTypeEd
      1    0.0%    0.0%  T __ZN4node9AsyncWrap12MakeCallbackEN2v85LocalINS1_8FunctionEEEiPNS2_INS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node7TTYWrap13GetWindowSizeERKN2v820FunctionCallbackInfoINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node6Buffer11HasInstanceEN2v85LocalINS1_5ValueEEE
      1    0.0%    0.0%  T __ZN4node2fs9FSReqBaseD2Ev
      1    0.0%    0.0%  T __ZN4node24NodeArrayBufferAllocator8AllocateEm
      1    0.0%    0.0%  T __ZN4node12NodePlatform18CallOnWorkerThreadENSt3__110unique_ptrIN2v84TaskENS1_14default_deleteIS4_EEEE
      1    0.0%    0.0%  T __ZN4node11Environment17RunWeakRefCleanupEv
      1    0.0%    0.0%  T __ZN2v88internal8Compiler31FinalizeOptimizedCompilationJobEPNS0_23OptimizedCompilationJobEPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal8Compiler21GetSharedFunctionInfoINS0_7IsolateEEENS0_6HandleINS0_18SharedFunctionInfoEEEPNS0_15FunctionLiteralENS4_INS0_6ScriptEEEPT_
      1    0.0%    0.0%  T __ZN2v88internal8Compiler21GetFunctionFromStringENS0_6HandleINS0_7ContextEEENS2_INS0_6ObjectEEENS0_16ParseRestrictionEi
      1    0.0%    0.0%  T __ZN2v88internal8Builtins7builtinEi
      1    0.0%    0.0%  T __ZN2v88internal8Builtins4nameEi
      1    0.0%    0.0%  T __ZN2v88internal5Scope9ResolveToEPNS0_13VariableProxyEPNS0_8VariableE
      1    0.0%    0.0%  T __ZN2v88internal5Scope6LookupILNS1_15ScopeLookupModeE1EEEPNS0_8VariableEPNS0_13VariableProxyEPS1_S8_S8_b
      1    0.0%    0.0%  T __ZN2v88internal5Scope16AnalyzePartiallyEPNS0_16DeclarationScopeEPNS0_14AstNodeFactoryEPNS_4base16ThreadedListBaseINS0_13VariableProxyENS6_9EmptyBaseENS8_14UnresolvedNextEEEb
      1    0.0%    0.0%  T __ZN2v88internal34Builtin_StringPrototypeLastIndexOfEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal33Builtin_TypedArrayPrototypeBufferEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal21Builtin_JsonStringifyEiPmPNS0_7IsolateE
      1    0.0%    0.0%  T __ZN2v88internal18Builtin_ArrayShiftEiPmPNS0_7IsolateE
